15 23785  0.116 0 0  0 0 0   -0.0002089973025325431  
15 23136  0.1159823326381414 0.002024479146724887 0  0.0174532925199433 0 0   0.000489487055052626  
15 23138  0.1159293359342151 0.004048341617490112 0  0.03490658503988659 0 0   -0.001532012891513084  
15 23791  0.1158410260315306 0.006070970924181485 0  0.05235987755982989 0 0   -0.01671940126169327  
15 23793  0.1157174298301396 0.008091750954318536 0  0.06981317007977318 0 0   -0.04402723041127098  
15 23795  0.1155585849786425 0.01011006615872835 0  0.08726646259971647 0 0   -0.09414815862225426  
15 23145  0.1153645398627197 0.0121253017390478 0  0.1047197551196598 0 0   -0.1509529250910766  
15 23147  0.1151353535903934 0.01413684383499711 0  0.1221730476396031 0 0   -0.1559460169036651  
15 23149  0.1148710959740222 0.01614407971136759 0  0.1396263401595464 0 0   -0.1550652953502288  
15 23802  0.114571847509036 0.01814639794466678 0  0.1570796326794897 0 0   -0.1571710542935044  
15 23804  0.1142376993494161 0.02014318860936392 0  0.1745329251994329 0 0   -0.1071332193590821  
15 23806  0.113868753279929 0.0221338434636792 0  0.1919862177193762 0 0   -0.0995941639550478  
15 23808  0.1134651216851215 0.02411775613486008 0  0.2094395102393195 0 0   -0.1490674375807546  
15 23810  0.1130269275150873 0.02609432230388834 0  0.2268928027592628 0 0   -0.3158501048396483  
15 23812  0.1125543042480156 0.02806293988956145 0  0.2443460952792061 0 0   -0.3137862723897674  
15 23161  0.1120473958495319 0.03002300923189241 0  0.2617993877991494 0 0   -0.3103018511081259  
15 23163  0.111506356728845 0.0319739332747719 0  0.2792526803190927 0 0   -0.3081674959798678  
15 23817  0.1109313516917121 0.03391511774783747 0  0.296705972839036 0 0   -0.31123805824094  
15 23819  0.1103225558902378 0.03584597134749391 0  0.3141592653589794 0 0   -0.1817463504333475  
15 23821  0.1096801547695207 0.03776590591703018 0  0.3316125578789227 0 0   -0.186844585357571  
15 23823  0.1090043440111654 0.03967433662577759 0  0.349065850398866 0 0   -0.2945472157502247  
15 23172  0.1082953294736754 0.04157068214725484 0  0.3665191429188093 0 0   -0.4564190106742647  
15 23174  0.1075533271297473 0.04345436483624582 0  0.3839724354387526 0 0   -0.4646821485964268  
15 23828  0.1067785630004831 0.04532481090475577 0  0.401425727958696 0 0   -0.4674812505265311  
