15 23791  0.116 0 0  0 0 0   -2.943769144975183e-06  
15 23142  0.1159823326381414 0.002024479146724887 0  0.0174532925199433 0 0   3.732535964888415e-05  
15 23144  0.1159293359342151 0.004048341617490112 0  0.03490658503988659 0 0   -0.002588712617506798  
15 23797  0.1158410260315306 0.006070970924181485 0  0.05235987755982989 0 0   -0.0183005192559598  
15 23799  0.1157174298301396 0.008091750954318536 0  0.06981317007977318 0 0   -0.04700613208388807  
15 23801  0.1155585849786425 0.01011006615872835 0  0.08726646259971647 0 0   -0.1001915856352559  
15 23151  0.1153645398627197 0.0121253017390478 0  0.1047197551196598 0 0   -0.1609903256614631  
15 23153  0.1151353535903934 0.01413684383499711 0  0.1221730476396031 0 0   -0.1669867139692563  
15 23155  0.1148710959740222 0.01614407971136759 0  0.1396263401595464 0 0   -0.1668335201954145  
15 23808  0.114571847509036 0.01814639794466678 0  0.1570796326794897 0 0   -0.1696861181334063  
15 23810  0.1142376993494161 0.02014318860936392 0  0.1745329251994329 0 0   -0.1157715557519944  
15 23812  0.113868753279929 0.0221338434636792 0  0.1919862177193762 0 0   -0.1070078724970474  
15 23814  0.1134651216851215 0.02411775613486008 0  0.2094395102393195 0 0   -0.1596814321549353  
15 23816  0.1130269275150873 0.02609432230388834 0  0.2268928027592628 0 0   -0.3384409759931052  
15 23818  0.1125543042480156 0.02806293988956145 0  0.2443460952792061 0 0   -0.3370203844744543  
15 23167  0.1120473958495319 0.03002300923189241 0  0.2617993877991494 0 0   -0.3338625546624085  
15 23169  0.111506356728845 0.0319739332747719 0  0.2792526803190927 0 0   -0.332546384547208  
15 23823  0.1109313516917121 0.03391511774783747 0  0.296705972839036 0 0   -0.336812814368851  
15 23825  0.1103225558902378 0.03584597134749391 0  0.3141592653589794 0 0   -0.196061278301827  
15 23827  0.1096801547695207 0.03776590591703018 0  0.3316125578789227 0 0   -0.2007546242250281  
15 23829  0.1090043440111654 0.03967433662577759 0  0.349065850398866 0 0   -0.3161054874282877  
15 23178  0.1082953294736754 0.04157068214725484 0  0.3665191429188093 0 0   -0.4904781597029981  
15 23180  0.1075533271297473 0.04345436483624582 0  0.3839724354387526 0 0   -0.5001762926601541  
15 23834  0.1067785630004831 0.04532481090475577 0  0.401425727958696 0 0   -0.5036808339252603  
15 23836  0.1059712730865417 0.04718145059679284 0  0.4188790204786393 0 0   -0.5100996998797792  
15 23185  0.1051317032962514 0.04902371836192115 0  0.4363323129985826 0 0   -0.3545326915194763  
15 23840  0.1042601093707034 0.050851053027533 0  0.4537856055185259 0 0   -0.2601423812541333  
15 23842  0.1033567568058507 0.05266289796978746 0  0.4712388980384692 0 0   -0.3360495131477892  
15 23844  0.1024219207716355 0.05445870128316336 0  0.4886921905584126 0 0   -0.6720686138199443  
15 23192  0.1014558860281699 0.05623791594857512 0  0.5061454830783558 0 0   -0.6611358573634646  
15 23194  0.1004589468389949 0.05800000000000003 0  0.5235987755982991 0 0   -0.6640614703981962  
15 23196  0.09943140688144501 0.05974441668956632 0  0.5410520681182425 0 0   -0.6624309798462513  
15 23851  0.09837357915414541 0.06147063465105181 0  0.5585053606381858 0 0   -0.6475251600756542  
15 23853  0.09728578588166917 0.06317812806174318 0  0.5759586531581291 0 0   -0.3084163086432583  
15 23201  0.09616835841638482 0.06486637680260667 0  0.5934119456780724 0 0   -0.1951686032573744  
15 23857  0.09502163713752303 0.06653486661672138 0  0.6108652381980157 0 0   -0.1808618073024706  
15 23859  0.09384597134749388 0.06818308926592692 0  0.6283185307179591 0 0   -0.1975773327684293  
15 23206  0.09264171916548594 0.06981054268563765 0  0.6457718232379024 0 0   -0.1414939215572746  
15 23208  0.09140924741837972 0.0714167311377764 0  0.6632251157578457 0 0   -0.103272105336965  
15 23210  0.09014893152900859 0.0730011653617812 0  0.680678408277789 0 0   -0.07971748335949201  
15 23866  0.08886115540180141 0.07456336272363862 0  0.6981317007977323 0 0   -0.0510500326027604  
15 23868  0.08754631130584152 0.07610284736289889 0  0.7155849933176757 0 0   -0.04900692041608211  
15 23870  0.0862047997553777 0.0776191503376276 0  0.733038285837619 0 0   -0.06658073598573347  
