15 23803  0.116 0 0  0 0 0   0.8366779105144756  
15 23154  0.1159823326381414 0.002024479146724887 0  0.0174532925199433 0 0   0.8289655944159016  
15 23156  0.1159293359342151 0.004048341617490112 0  0.03490658503988659 0 0   0.7535597599739751  
15 23809  0.1158410260315306 0.006070970924181485 0  0.05235987755982989 0 0   0.4315728605650145  
15 23811  0.1157174298301396 0.008091750954318536 0  0.06981317007977318 0 0   0.3567294817413884  
15 23813  0.1155585849786425 0.01011006615872835 0  0.08726646259971647 0 0   0.4798271351108493  
15 23163  0.1153645398627197 0.0121253017390478 0  0.1047197551196598 0 0   0.7126785897172847  
15 23165  0.1151353535903934 0.01413684383499711 0  0.1221730476396031 0 0   0.7350252184141257  
15 23167  0.1148710959740222 0.01614407971136759 0  0.1396263401595464 0 0   0.7346977330041463  
15 23820  0.114571847509036 0.01814639794466678 0  0.1570796326794897 0 0   0.7499844756709227  
15 23822  0.1142376993494161 0.02014318860936392 0  0.1745329251994329 0 0   0.469834388642177  
15 23824  0.113868753279929 0.0221338434636792 0  0.1919862177193762 0 0   0.3160418707629149  
15 23826  0.1134651216851215 0.02411775613486008 0  0.2094395102393195 0 0   0.3376759746611846  
15 23828  0.1130269275150873 0.02609432230388834 0  0.2268928027592628 0 0   0.6147613587948438  
15 23830  0.1125543042480156 0.02806293988956145 0  0.2443460952792061 0 0   0.6134017669867901  
15 23179  0.1120473958495319 0.03002300923189241 0  0.2617993877991494 0 0   0.6081759126230484  
15 23181  0.111506356728845 0.0319739332747719 0  0.2792526803190927 0 0   0.6058780634357115  
15 23835  0.1109313516917121 0.03391511774783747 0  0.296705972839036 0 0   0.615214433586706  
15 23837  0.1103225558902378 0.03584597134749391 0  0.3141592653589794 0 0   0.3060526435927678  
15 23839  0.1096801547695207 0.03776590591703018 0  0.3316125578789227 0 0   0.2347206718742987  
15 23841  0.1090043440111654 0.03967433662577759 0  0.349065850398866 0 0   0.2955884047699204  
15 23190  0.1082953294736754 0.04157068214725484 0  0.3665191429188093 0 0   0.436931998354258  
15 23192  0.1075533271297473 0.04345436483624582 0  0.3839724354387526 0 0   0.4445639959996705  
15 23846  0.1067785630004831 0.04532481090475577 0  0.401425727958696 0 0   0.4477116434241316  
15 23848  0.1059712730865417 0.04718145059679284 0  0.4188790204786393 0 0   0.4543259294110364  
15 23197  0.1051317032962514 0.04902371836192115 0  0.4363323129985826 0 0   0.2963120887979218  
15 23852  0.1042601093707034 0.050851053027533 0  0.4537856055185259 0 0   0.1745542567275876  
15 23854  0.1033567568058507 0.05266289796978746 0  0.4712388980384692 0 0   0.1658984228231501  
15 23856  0.1024219207716355 0.05445870128316336 0  0.4886921905584126 0 0   0.2793741309206645  
15 23204  0.1014558860281699 0.05623791594857512 0  0.5061454830783558 0 0   0.2755046619217949  
15 23206  0.1004589468389949 0.05800000000000003 0  0.5235987755982991 0 0   0.2765269984645726  
15 23208  0.09943140688144501 0.05974441668956632 0  0.5410520681182425 0 0   0.2753752840300505  
15 23863  0.09837357915414541 0.06147063465105181 0  0.5585053606381858 0 0   0.2724378447057602  
15 23865  0.09728578588166917 0.06317812806174318 0  0.5759586531581291 0 0   0.1088526412341297  
15 23213  0.09616835841638482 0.06486637680260667 0  0.5934119456780724 0 0   0.04634012074408603  
15 23869  0.09502163713752303 0.06653486661672138 0  0.6108652381980157 0 0   0.01621218016666063  
15 23871  0.09384597134749388 0.06818308926592692 0  0.6283185307179591 0 0   0.003598834881158123  
15 23218  0.09264171916548594 0.06981054268563765 0  0.6457718232379024 0 0   -0.001886363601851812  
15 23220  0.09140924741837972 0.0714167311377764 0  0.6632251157578457 0 0   -0.006886609671221409  
15 23222  0.09014893152900859 0.0730011653617812 0  0.680678408277789 0 0   -0.007670298549928845  
15 23878  0.08886115540180141 0.07456336272363862 0  0.6981317007977323 0 0   -0.007709124923023521  
15 23880  0.08754631130584152 0.07610284736289889 0  0.7155849933176757 0 0   -0.02184891089571316  
15 23882  0.0862047997553777 0.0776191503376276 0  0.733038285837619 0 0   -0.04350210951157468  
15 23229  0.08483702938782374 0.07911180976724988 0  0.7504915783575623 0 0   -0.0784485412246677  
15 23231  0.0834434168392835 0.08058037097324373 0  0.7679448708775056 0 0   -0.08206237174662417  
15 23887  0.08202438661763947 0.08202438661763957 0  0.7853981633974489 0 0   -0.08589493060569894  
15 23234  0.08058037097324364 0.08344341683928359 0  0.8028514559173923 0 0   -0.09416150662643763  
15 23236  0.07911180976724977 0.08483702938782382 0  0.8203047484373356 0 0   -0.1048883168696703  
15 23893  0.07761915033762749 0.08620479975537779 0  0.8377580409572789 0 0   -0.0705342392915158  
15 23895  0.07610284736289878 0.0875463113058416 0  0.8552113334772222 0 0   -0.0570813751715624  
15 23897  0.07456336272363849 0.08886115540180152 0  0.8726646259971655 0 0   -0.06701439347788711  
15 23243  0.07300116536178107 0.09014893152900869 0  0.8901179185171089 0 0   -0.1098774184304572  
15 23245  0.07141673113777629 0.09140924741837982 0  0.9075712110370522 0 0   -0.1482460132854142  
15 23247  0.06981054268563752 0.09264171916548604 0  0.9250245035569955 0 0   -0.211841200850276  
15 23904  0.06818308926592681 0.09384597134749396 0  0.9424777960769388 0 0   -0.3040226019597699  
15 23906  0.06653486661672127 0.09502163713752311 0  0.9599310885968821 0 0   -0.2815773988860482  
15 23252  0.06486637680260655 0.09616835841638489 0  0.9773843811168255 0 0   -0.3008835412228799  
15 23910  0.06317812806174306 0.09728578588166925 0  0.9948376736367688 0 0   -0.4703494026816019  
15 23912  0.06147063465105168 0.09837357915414548 0  1.012290966156712 0 0   -0.975214710964571  
15 23257  0.0597444166895662 0.09943140688144508 0  1.029744258676655 0 0   -0.9988339164607208  
15 23259  0.0579999999999999 0.100458946838995 0  1.047197551196599 0 0   -1.00115204314262  
15 23261  0.05623791594857499 0.10145588602817 0  1.064650843716542 0 0   -0.9968139749363086  
15 23919  0.05445870128316323 0.1024219207716356 0  1.082104136236485 0 0   -1.01319198949074  
15 23921  0.05266289796978732 0.1033567568058507 0  1.099557428756429 0 0   -0.5168759733900135  
15 23923  0.05085105302753287 0.1042601093707034 0  1.117010721276372 0 0   -0.4177683990834785  
15 23268  0.04902371836192102 0.1051317032962514 0  1.134464013796315 0 0   -0.5913946281353429  
15 23927  0.04718145059679271 0.1059712730865418 0  1.151917306316259 0 0   -0.8615085125457917  
15 23929  0.04532481090475563 0.1067785630004831 0  1.169370598836202 0 0   -0.8506288537745569  
15 23273  0.04345436483624567 0.1075533271297474 0  1.186823891356145 0 0   -0.8448778145062592  
15 23275  0.04157068214725471 0.1082953294736755 0  1.204277183876089 0 0   -0.8291011904675623  
15 23934  0.03967433662577743 0.1090043440111654 0  1.221730476396032 0 0   -0.5403368695908743  
15 23936  0.03776590591703004 0.1096801547695208 0  1.239183768915975 0 0   -0.3623106288525209  
15 23938  0.03584597134749377 0.1103225558902379 0  1.256637061435919 0 0   -0.3875455281792937  
15 23940  0.03391511774783732 0.1109313516917122 0  1.274090353955862 0 0   -0.7096850747115016  
15 23284  0.03197393327477176 0.111506356728845 0  1.291543646475805 0 0   -0.707915064229809  
15 23286  0.03002300923189226 0.112047395849532 0  1.308996938995749 0 0   -0.7728629296140982  
15 23945  0.02806293988956131 0.1125543042480156 0  1.326450231515692 0 0   -0.8469800476053173  
15 23947  0.02609432230388819 0.1130269275150873 0  1.343903524035635 0 0   -0.9675507943592193  
