15 23803  0.116 0 0  0 0 0   0.8091395115141384  
15 23154  0.1159823326381414 0.002024479146724887 0  0.0174532925199433 0 0   0.8022193507663959  
15 23156  0.1159293359342151 0.004048341617490112 0  0.03490658503988659 0 0   0.7285864563444652  
15 23809  0.1158410260315306 0.006070970924181485 0  0.05235987755982989 0 0   0.411149681648714  
15 23811  0.1157174298301396 0.008091750954318536 0  0.06981317007977318 0 0   0.3273755663781789  
15 23813  0.1155585849786425 0.01011006615872835 0  0.08726646259971647 0 0   0.4252821200950206  
15 23163  0.1153645398627197 0.0121253017390478 0  0.1047197551196598 0 0   0.6265767302858455  
15 23165  0.1151353535903934 0.01413684383499711 0  0.1221730476396031 0 0   0.6460451816166349  
15 23167  0.1148710959740222 0.01614407971136759 0  0.1396263401595464 0 0   0.6458370230428075  
15 23820  0.114571847509036 0.01814639794466678 0  0.1570796326794897 0 0   0.6593699198927664  
15 23822  0.1142376993494161 0.02014318860936392 0  0.1745329251994329 0 0   0.4109385874907732  
15 23824  0.113868753279929 0.0221338434636792 0  0.1919862177193762 0 0   0.2695011270502412  
15 23826  0.1134651216851215 0.02411775613486008 0  0.2094395102393195 0 0   0.2765449342963181  
15 23828  0.1130269275150873 0.02609432230388834 0  0.2268928027592628 0 0   0.4908715595078071  
15 23830  0.1125543042480156 0.02806293988956145 0  0.2443460952792061 0 0   0.4897184167323483  
15 23179  0.1120473958495319 0.03002300923189241 0  0.2617993877991494 0 0   0.4853440563425635  
15 23181  0.111506356728845 0.0319739332747719 0  0.2792526803190927 0 0   0.4830373940499312  
15 23835  0.1109313516917121 0.03391511774783747 0  0.296705972839036 0 0   0.490105227426188  
15 23837  0.1103225558902378 0.03584597134749391 0  0.3141592653589794 0 0   0.2406576875012763  
15 23839  0.1096801547695207 0.03776590591703018 0  0.3316125578789227 0 0   0.1786881599571281  
15 23841  0.1090043440111654 0.03967433662577759 0  0.349065850398866 0 0   0.2172929826880355  
15 23190  0.1082953294736754 0.04157068214725484 0  0.3665191429188093 0 0   0.3180194459981344  
15 23192  0.1075533271297473 0.04345436483624582 0  0.3839724354387526 0 0   0.3231280297675704  
15 23846  0.1067785630004831 0.04532481090475577 0  0.401425727958696 0 0   0.3252506128127418  
15 23848  0.1059712730865417 0.04718145059679284 0  0.4188790204786393 0 0   0.3297991800551936  
15 23197  0.1051317032962514 0.04902371836192115 0  0.4363323129985826 0 0   0.2127479924077154  
15 23852  0.1042601093707034 0.050851053027533 0  0.4537856055185259 0 0   0.1199875817486089  
15 23854  0.1033567568058507 0.05266289796978746 0  0.4712388980384692 0 0   0.104568554953088  
15 23856  0.1024219207716355 0.05445870128316336 0  0.4886921905584126 0 0   0.1645586902292066  
15 23204  0.1014558860281699 0.05623791594857512 0  0.5061454830783558 0 0   0.1623359099222854  
15 23206  0.1004589468389949 0.05800000000000003 0  0.5235987755982991 0 0   0.1627278521235756  
