15 23783  0.116 0 0  0 0 0   0.9022925059431616  
15 23134  0.1159823326381414 0.002024479146724887 0  0.0174532925199433 0 0   0.8938920864766087  
15 23136  0.1159293359342151 0.004048341617490112 0  0.03490658503988659 0 0   0.8143870399135782  
15 23789  0.1158410260315306 0.006070970924181485 0  0.05235987755982989 0 0   0.4784215638774298  
15 23791  0.1157174298301396 0.008091750954318536 0  0.06981317007977318 0 0   0.4181248634215797  
15 23793  0.1155585849786425 0.01011006615872835 0  0.08726646259971647 0 0   0.5884487819697499  
15 23143  0.1153645398627197 0.0121253017390478 0  0.1047197551196598 0 0   0.8817852707788506  
15 23145  0.1151353535903934 0.01413684383499711 0  0.1221730476396031 0 0   0.9080108292751222  
15 23147  0.1148710959740222 0.01614407971136759 0  0.1396263401595464 0 0   0.9043609651878969  
15 23800  0.114571847509036 0.01814639794466678 0  0.1570796326794897 0 0   0.9194284601089057  
15 23802  0.1142376993494161 0.02014318860936392 0  0.1745329251994329 0 0   0.5848930994916257  
15 23804  0.113868753279929 0.0221338434636792 0  0.1919862177193762 0 0   0.4245666933396544  
15 23806  0.1134651216851215 0.02411775613486008 0  0.2094395102393195 0 0   0.4934254393454163  
15 23808  0.1130269275150873 0.02609432230388834 0  0.2268928027592628 0 0   0.9025040943795475  
15 23810  0.1125543042480156 0.02806293988956145 0  0.2443460952792061 0 0   0.8389956083273385  
15 23159  0.1120473958495319 0.03002300923189241 0  0.2617993877991494 0 0   0.7961788718312475  
15 23161  0.111506356728845 0.0319739332747719 0  0.2792526803190927 0 0   0.7751092540486281  
15 23815  0.1109313516917121 0.03391511774783747 0  0.296705972839036 0 0   0.7791191964312408  
15 23817  0.1103225558902378 0.03584597134749391 0  0.3141592653589794 0 0   0.4132936751688077  
15 23819  0.1096801547695207 0.03776590591703018 0  0.3316125578789227 0 0   0.3646938791597449  
15 23821  0.1090043440111654 0.03967433662577759 0  0.349065850398866 0 0   0.5196740223674345  
15 23170  0.1082953294736754 0.04157068214725484 0  0.3665191429188093 0 0   0.7902969231189356  
15 23172  0.1075533271297473 0.04345436483624582 0  0.3839724354387526 0 0   0.8051435615270479  
15 23826  0.1067785630004831 0.04532481090475577 0  0.401425727958696 0 0   0.8107947111012449  
15 23828  0.1059712730865417 0.04718145059679284 0  0.4188790204786393 0 0   0.8217619445418294  
15 23177  0.1051317032962514 0.04902371836192115 0  0.4363323129985826 0 0   0.5568262211728116  
15 23832  0.1042601093707034 0.050851053027533 0  0.4537856055185259 0 0   0.3770394997789467  
15 23834  0.1033567568058507 0.05266289796978746 0  0.4712388980384692 0 0   0.4432106190348712  
15 23836  0.1024219207716355 0.05445870128316336 0  0.4886921905584126 0 0   0.8477242910583649  
15 23184  0.1014558860281699 0.05623791594857512 0  0.5061454830783558 0 0   0.8344265075847478  
15 23186  0.1004589468389949 0.05800000000000003 0  0.5235987755982991 0 0   0.8379815770502821  
15 23188  0.09943140688144501 0.05974441668956632 0  0.5410520681182425 0 0   0.8356343793022267  
15 23843  0.09837357915414541 0.06147063465105181 0  0.5585053606381858 0 0   0.8188492533332825  
15 23845  0.09728578588166917 0.06317812806174318 0  0.5759586531581291 0 0   0.3763191686304754  
15 23193  0.09616835841638482 0.06486637680260667 0  0.5934119456780724 0 0   0.2219632410904101  
